osm_id,building,street,house_number,levels,lat,lon
98384452,apartments,улица Маяковского,17,5.0,59.938230520000005,30.35601432
98384455,yes,Unknown,,,59.93785608,30.35824826
98384456,yes,улица Некрасова,25,,59.93846177826087,30.359150165217397
98384465,yes,Ковенский переулок,6,,59.9375645,30.3569942125
98384489,yes,Ковенский переулок,6,,59.93796352,30.35717898
98384490,apartments,Ковенский переулок,4,5.0,59.93751480666666,30.356449966666663
98384491,school,Ковенский переулок,10А,4.0,59.9375915375,30.3577484875
98384495,apartments,Ковенский переулок,10,2.0,59.93757571428571,30.35727741428571
98391362,apartments,Ковенский переулок,13,,59.937126983333336,30.35841785
98391370,kindergarten,Ковенский переулок,15,3.0,59.93710183333334,30.35889287777778
98391371,office,улица Восстания,18,5.0,59.93706653461538,30.35956764615385
98392858,yes,Unknown,,,59.93696541666667,30.353862733333333
98392866,yes,улица Чехова,15 литБ,,59.938333581818185,30.353577945454543
98392869,apartments,улица Маяковского,28,3.0,59.938488127272734,30.354850863636365
98392872,school,улица Маяковского,26 литЖ,4.0,59.93806314166667,30.354807175
129211271,apartments,улица Маяковского,11,5.0,59.936954228888894,30.35569521111111
129211272,sports_centre,Ковенский переулок,12,,59.937615093333335,30.35833842
129211273,apartments,улица Маяковского,15,3.0,59.937860275,30.355938602777776
129211274,yes,улица Некрасова,17,,59.93846905416667,30.35693215
129211276,yes,улица Некрасова,19,,59.93838050714286,30.35742875
129211279,yes,улица Некрасова,21,,59.93839901333333,30.358275186666667
129211280,yes,улица Некрасова,23,,59.93856447777778,30.35862294444444
129211283,apartments,Виленский переулок,4,,59.94044128181818,30.361670177272728
129211285,church,Ковенский переулок,7,,59.93711311818181,30.356827672727277
129211286,yes,Ковенский переулок,7 литБ,,59.937127,30.3571921
129211300,yes,улица Восстания,24/27 литВ,,59.93822684285714,30.35854772857143
129211301,yes,Unknown,,,59.94049202857143,30.361414614285717
129211302,yes,улица Некрасова,25 литБ,,59.93830651666667,30.358626266666665
129211303,yes,улица Восстания,24/27 литГ,,59.938244242857145,30.358916685714284
129211305,yes,улица Восстания,22 литБ,,59.93810711,30.35923401
129306296,office,улица Некрасова,11,3.0,59.938693584,30.353855072
129306297,apartments,улица Чехова,11-13 литБ,4.0,59.93802173157895,30.353550521052632
129306299,apartments,улица Чехова,17/9,4.0,59.93872077333334,30.353241813333334
129306302,yes,улица Маяковского,26 литМ,,59.93790572222223,30.354165122222224
129306303,yes,улица Маяковского,26,,59.93780263,30.35466664
129306304,apartments,улица Чехова,5,4.0,59.936904217647054,30.353283276470588
129306306,apartments,улица Чехова,7,6.0,59.93725581304348,30.35343053478261
129306315,yes,Unknown,,,59.93740136,30.3542426
129306317,yes,Unknown,,,59.93849466,30.3539482
129413987,apartments,Басков переулок,13-15,6.0,59.93924753469388,30.355970353061227
129413988,yes,Басков переулок,17,,59.93933398666666,30.35661869333333
129413989,yes,улица Некрасова,24,4.0,59.93898076000001,30.35658435
129413992,yes,улица Некрасова,22,4.0,59.93901985384616,30.35620086153846
129413994,yes,Басков переулок,29,,59.93928024285714,30.35943015714286
129413995,yes,улица Некрасова,30 литБ,,59.93922138333334,30.35819808333333
129413996,yes,улица Некрасова,36,,59.93899690869565,30.359385617391304
129440984,yes,Басков переулок,10 литВ,,59.940099833333335,30.3572793
129440985,yes,Басков переулок,10 литБ,,59.94025727777777,30.357050177777776
129440987,apartments,Басков переулок,12 литА,,59.93991768461539,30.35757196153846
129440988,yes,Басков переулок,12 литИ,,59.940241066666665,30.35748103333333
129440990,yes,Сапёрный переулок,13 литЛ,1.0,59.94037021666667,30.35867358333333
129440991,yes,Басков переулок,16,,59.93979053571429,30.358777664285714
129440992,yes,Басков переулок,16 литД,,59.94022127142858,30.35780725714286
129440994,yes,Басков переулок,16 литЕ,,59.940194318181824,30.358789945454543
129440995,yes,Басков переулок,16 литВ,,59.94004273,30.358271960000003
129440996,yes,Басков переулок,18,,59.93976255263159,30.35941067894737
129440998,yes,Басков переулок,20,,59.93976326000001,30.35998598
129440999,yes,улица Маяковского,29 литГ,,59.94064308888889,30.356031233333333
129441000,residential,Митавский переулок,3,6.0,59.9403963516129,30.35771679032258
129441001,yes,Сапёрный переулок,3,,59.9407879625,30.35627159375
129441002,yes,Сапёрный переулок,3 литВ,,59.94072406666667,30.356487633333334
129441004,yes,Сапёрный переулок,5А литБ,,59.94044891,30.35697269
129441005,yes,Сапёрный переулок,7,,59.940588805,30.3573258775
129441007,yes,Сапёрный переулок,7 литБ,,59.94032403999999,30.3571353
129778075,apartments,Гродненский переулок,12-24 литБ,4.0,59.94198863846154,30.36188327692308
129778078,apartments,Гродненский переулок,12-24,6.0,59.9418638775,30.3614600975
129778081,yes,улица Рылеева,33,5.0,59.94218595,30.3614306125
129778082,yes,улица Рылеева,35,,59.94214607,30.36197448
130662460,apartments,Сапёрный переулок,10 литВ,,59.941544203030304,30.35763271818182
130662461,apartments,Сапёрный переулок,10,,59.94128759117648,30.358111688235294
130662462,apartments,Сапёрный переулок,10 литБ,,59.94153478125,30.35712994375
130662463,apartments,Сапёрный переулок,12,5.0,59.94136149393939,30.35870673636364
130662465,apartments,улица Рылеева,25,,59.94217223214286,30.358742714285714
130662466,yes,улица Рылеева,27,,59.9421911625,30.359224225
130662467,school,улица Маяковского,37 литГ,2.0,59.942006125,30.3571823875
130662472,apartments,Сапёрный переулок,8,,59.941238875,30.357336175
132212473,yes,улица Рылеева,14,,59.94264523,30.35872366
132212486,apartments,Манежный переулок,7,4.0,59.9429818125,30.35602945833333
132212487,service,Манежный переулок,7 литБ,1.0,59.94287352857143,30.356468114285715
132212488,apartments,Манежный переулок,9,4.0,59.94301359090909,30.356694254545456
132229939,apartments,улица Некрасова,14 литВ,,59.93935756190476,30.353943685714285
132229940,yes,улица Некрасова,14 литД,,59.93902963333333,30.353703166666666
132229944,apartments,улица Маяковского,30,5.0,59.93914480816326,30.35462218979592
132229945,apartments,улица Маяковского,32/11,3.0,59.93938217222222,30.35482796111111
132229947,apartments,улица Некрасова,6,5.0,59.93916954666667,30.350635706666665
132523272,yes,улица Рылеева,11 литЕ,,59.94217744,30.35380602
151062477,residential,улица Чехова,12-16,4.0,59.93825904166667,30.35260064166667
151062804,yes,улица Чехова,12-16 литБ,,59.93803890434783,30.35187637826087
151062869,yes,улица Чехова,12-16 литВ,,59.93828974285714,30.35218207142857
151066215,yes,улица Некрасова,3-5 литВ,,59.93854735714286,30.35164153571429
164083101,service,Виленский переулок,4А литФ,,59.94035166,30.36138342
181614985,office,Литейный проспект,26,6.0,59.941793757894736,30.349654721052637
222749021,yes,Ковенский переулок,5,5.0,59.93702855384615,30.356337315384614
364932503,yes,улица Некрасова,14Б с1,3.0,59.9390751,30.354024100000004
376350118,apartments,Артиллерийская улица,4,5.0,59.94206527916666,30.351635141666662
376350119,residential,Артиллерийская улица,6,2.0,59.94204137058824,30.35254347058824
376350120,government,Артиллерийская улица,8,4.0,59.94205117692308,30.3530383
376350160,government,улица Маяковского,46 литБ,2.0,59.941604080000005,30.35430666
376350442,guardhouse,Unknown,,,59.94193414,30.35108726
400074016,apartments,Басков переулок,21,,59.93915773783783,30.35777719189189
411268918,residential,Литейный проспект,28 литВ,4.0,59.94112407777777,30.349254144444444
466351468,residential,Сапёрный переулок,9,6.0,59.94071015121951,30.35791536097561
466351471,yes,Сапёрный переулок,11,2.0,59.940686954166665,30.35855475833333
469980601,apartments,Ковенский переулок,11,,59.93701585,30.358010827777772
623839377,yes,Unknown,,,59.938200140000006,30.35386646
700685988,service,Ковенский переулок,2 лит Д,,59.93749726,30.35617992
929242227,garage,Unknown,,,59.94064084,30.3505704
929242228,garages,Unknown,,,59.94066988,30.35103472
929249290,yes,Unknown,,1.0,59.940023875,30.349332383333333
1086068873,retail,Unknown,,1.0,59.9419243,30.357368616666665
1088021854,yes,Unknown,,,59.93818251666667,30.3584612
1188981218,service,улица Чехова,6 литК,,59.937204740000006,30.352021380000004
1188981219,yes,улица Чехова,10 литГ,,59.93760124285715,30.351530942857146
1188997586,yes,улица Некрасова,3-5 литД,,59.93845446666666,30.352141066666665
1188997587,service,улица Чехова,12-16 литК,,59.93828962,30.35192534
1188997588,yes,улица Некрасова,3-5 литГ,,59.9384737,30.3519969
1188997591,yes,Литейный проспект,44 литГ,,59.93824288,30.35210336
1189008625,yes,Unknown,,,59.93863600000001,30.35097938571429
1253091143,yes,Unknown,,,59.93921382,30.35625334
1253091168,guardhouse,Unknown,,,59.93888611428572,30.358609542857145
1259201180,yes,Ковенский переулок,12 литГ,,59.938050280000006,30.35846078
1259201181,yes,Ковенский переулок,12 литВ,,59.93802696,30.35867606
1275306300,service,улица Восстания,37-39 литБ,,59.93978542,30.36123834
1276456716,service,Сапёрный переулок,20А литД,,59.94105056,30.36163192
1276789954,yes,Unknown,,,59.94066615714286,30.359522642857144
1276789956,garage,Unknown,,,59.940626380000005,30.35996928
1276789957,service,Unknown,,,59.94063571428571,30.36004947142857
1276789958,garage,Unknown,,,59.940712075,30.359551525
1301456688,yes,Unknown,,,59.94011607142857,30.35777017142857
1301890564,service,Unknown,,,59.94041953333333,30.35593855
1306592779,service,Unknown,,,59.94130818461539,30.35876911538461
1306595739,yes,Unknown,,,59.9419226625,30.3588354875
1306598032,service,Unknown,,,59.942029985714285,30.3594068
1307033172,garage,Unknown,,,59.94202338,30.35648052
1307033177,service,Unknown,,,59.94162966,30.35661482
1307063500,service,Unknown,,,59.94209668,30.35446338
1307068367,guardhouse,Unknown,,,59.94192292,30.35226684
61410872,apartments,Малый проспект В.О.,35,,59.945410085714286,30.26695674285714
61410882,yes,Малый проспект В.О.,24 литБ,5.0,59.94547426818181,30.271058977272727
61410883,apartments,10-я линия В.О.,47,5.0,59.944851500000006,30.270374985714284
86504697,apartments,13-я линия В.О.,64/39,5.0,59.944869215789474,30.26564281052632
108132186,apartments,10-я линия В.О.,41,5.0,59.94408041818181,30.271260945454543
108202272,service,10-я линия В.О.,45 литТ,1.0,59.94462396666666,30.270473050000003
108202276,university,10-я линия В.О.,49,4.0,59.94527339259259,30.26999816296296
108202278,commercial,10-я линия В.О.,45,1.0,59.94474685,30.2704736625
108202284,apartments,Малый проспект В.О.,26,4.0,59.9454041,30.270597050000003
108202289,yes,Малый проспект В.О.,26 литВ,,59.94531915,30.2708669875
108206382,yes,13-я линия В.О.,64/39 литВ,,59.9450107125,30.265338
108206400,apartments,Малый проспект В.О.,37,5.0,59.945144252941176,30.26673895294117
108206411,apartments,Малый проспект В.О.,35,5.0,59.94523968,30.26735266
108206414,apartments,Малый проспект В.О.,33,5.0,59.94556253333334,30.268298466666668
108206499,apartments,Малый проспект В.О.,37/49 литБ,,59.9453353,30.26668446
108219430,yes,12-я линия В.О.,37 литВ,,59.94277225,30.270526166666667
108219437,yes,12-я линия В.О.,37 литБ,,59.94298608333333,30.27021876666667
108219440,apartments,12-я линия В.О.,37,5.0,59.94270525,30.269576691666668
108219869,yes,12-я линия В.О.,41 к1 литЖ,2.0,59.94339209411765,30.268609758823533
108219870,yes,12-я линия В.О.,39,3.5,59.94300031935485,30.26949455483871
108222647,apartments,12-я линия В.О.,45,4.0,59.9443936388889,30.26759481666667
108222648,yes,Малый проспект В.О.,34,4.0,59.944701963829786,30.267383589361703
108222650,yes,Малый проспект В.О.,30-32 литБ,,59.94485865555557,30.268513233333334
108222651,kindergarten,12-я линия В.О.,43,3.0,59.94415997692308,30.26808057692308
108222655,yes,Малый проспект В.О.,30-32 литГ,,59.944655583333336,30.268713833333333
108222658,service,12-я линия В.О.,45 литТ,,59.94455508,30.26802778
108222661,apartments,Малый проспект В.О.,30-32,7.0,59.94506389393939,30.268446036363635
108222664,yes,Малый проспект В.О.,30-32 литВ,,59.945011988888886,30.268742033333336
108579700,apartments,13-я линия В.О.,46,5.0,59.94224544761904,30.26912403333333
108579701,apartments,14-я линия В.О.,67-69,5.0,59.94327886999999,30.2654033875
108579702,apartments,14-я линия В.О.,63,5.0,59.94272313333334,30.26595381111111
108579706,apartments,13-я линия В.О.,60,6.0,59.94408761666667,30.2669372
108579708,yes,14-я линия В.О.,71 литВ,1.0,59.9438262375,30.2658288
108579710,yes,Unknown,,,59.94272464000001,30.26722878
108579712,yes,14-я линия В.О.,71 литБ,2.0,59.94374015,30.26566558333333
108579719,yes,14-я линия В.О.,71,5.0,59.94370676,30.26534834
108579722,yes,13-я линия В.О.,54,8.0,59.943004986666665,30.26662604
108579728,yes,14-я линия В.О.,71 к2 литТ,1.0,59.94372736666667,30.26592205
108579729,yes,13-я линия В.О.,58-60 литБ,2.0,59.94400316666667,30.26626463333333
108579730,apartments,13-я линия В.О.,58-60,5.0,59.9439132125,30.2671705125
108579735,apartments,13-я линия В.О.,56,5.0,59.94349515,30.26744204
108579736,apartments,14-я линия В.О.,65,5.0,59.94286514285714,30.265764642857143
108579739,apartments,13-я линия В.О.,62,5.0,59.94429037142857,30.266736528571432
108579751,yes,13-я линия В.О.,58-60 литД,1.0,59.943830260000006,30.2665906
108579752,kindergarten,14-я линия В.О.,65А,2.0,59.943424876470594,30.266452247058822
108579754,yes,Unknown,,,59.94235386,30.267668
108579756,yes,13-я линия В.О.,46 литБ,1.0,59.9423505625,30.2678437125
111697492,yes,11-я линия В.О.,48,6.0,59.94368613333334,30.27044503333333
111697503,yes,11-я линия В.О.,42,2.0,59.94273121818182,30.27141893636364
111697516,yes,11-я линия В.О.,48 литБ,,59.94352353333333,30.269925933333337
111697517,yes,12-я линия В.О.,39 литВ,,59.9433294,30.26988328
111697519,hotel,11-я линия В.О.,54,3.0,59.9442264,30.269980466666667
111697525,hotel,11-я линия В.О.,50,8.0,59.94384212,30.27013513
216964543,yes,Unknown,,1.0,59.94510928,30.27043376
217337651,apartments,10-я линия В.О.,45,6.0,59.944777072972975,30.27106030540541
217337652,yes,10-я линия В.О.,47 литБ,2.0,59.94501587777778,30.270827411111117
217337661,yes,Unknown,,1.0,59.94531601999999,30.27098442
217453365,apartments,13-я линия В.О.,50,7.0,59.94291179,30.267926645
217453414,yes,Unknown,,1.0,59.94429344,30.2660176
217453423,yes,Unknown,,1.0,59.94418982,30.26602944
